FullSampleName,cultivar,ACCID,country,ploidy,species,use,snp_calling_keep,species_keep,heterozygosity_keep,ibd_species_keep,faststructure_keep,pca_keep,domestica_keep,domestica_clones_keep,top_eight,colour_pheno,firm_pheno,size_pheno,ACP,ACNO
MalGBS_P15_F03_637791,NA,637791,Uzbekistan,2x,sieversii,NA,1,1,1,1,0,0,0,0,0,NA,NA,NA,PI,629310
MalGBS_P15_G03_637792,NA,637792,Uzbekistan,2x,sieversii,NA,1,1,1,1,1,1,0,0,0,NA,NA,NA,PI,629311
MalGBS_P15_H03_637726,NA,637726,Uzbekistan,2x,sieversii,NA,1,1,1,1,1,1,0,0,0,NA,NA,NA,PI,629297
MalGBS_P15_A04_637768,NA,637768,Kazakhstan,2x,sieversii,NA,1,1,1,1,1,1,0,0,0,NA,NA,NA,PI,629304
MalGBS_P15_B04_637772,NA,637772,Kazakhstan,2x,sieversii,NA,1,1,1,1,1,1,0,0,0,NA,NA,NA,PI,629306
MalGBS_P15_C04_637728,NA,637728,Uzbekistan,2x,sieversii,NA,1,1,1,1,1,1,0,0,0,NA,NA,NA,PI,629298
MalGBS_P15_D04_637750,NA,637750,Kazakhstan,2x,sieversii,NA,1,1,1,1,1,1,0,0,0,NA,NA,NA,PI,629299
MalGBS_P15_E04_637725,NA,637725,Uzbekistan,2x,sieversii,NA,1,1,1,1,1,1,0,0,0,NA,NA,NA,PI,629296
MalGBS_P15_F04_637790,NA,637790,Uzbekistan,2x,sieversii,NA,1,1,1,1,1,1,0,0,0,NA,NA,NA,PI,629309
MalGBS_P15_G04_637821,NA,637821,Kazakhstan,2x,sieversii,NA,1,1,1,1,0,0,0,0,0,NA,NA,NA,PI,629319
MalGBS_P15_H04_637770,NA,637770,Kazakhstan,2x,sieversii,NA,1,1,1,1,1,1,0,0,0,NA,NA,NA,PI,629305
MalGBS_P15_A05_637794,NA,637794,Kazakhstan,2x,sieversii,NA,1,1,1,1,1,1,0,0,0,NA,NA,NA,PI,629313
MalGBS_P15_B05_637819,NA,637819,Kazakhstan,2x,sieversii,NA,1,1,1,1,0,0,0,0,0,NA,NA,NA,PI,629317
MalGBS_P15_C05_637758,NA,637758,Uzbekistan,2x,sieversii,NA,1,1,1,1,1,1,0,0,0,NA,NA,NA,PI,629303
MalGBS_P15_D05_637751,NA,637751,Uzbekistan,2x,sieversii,NA,1,1,1,1,1,1,0,0,0,NA,NA,NA,PI,629300
MalGBS_P15_E05_637820,NA,637820,Kazakhstan,2x,sieversii,NA,1,1,1,1,0,0,0,0,0,NA,NA,NA,PI,629318
MalGBS_P15_F05_637776,NA,637776,Kazakhstan,2x,sieversii,NA,1,1,1,1,1,1,0,0,0,NA,NA,NA,PI,629307
MalGBS_P15_G05_637822,NA,637822,Kazakhstan,2x,sieversii,NA,1,1,1,1,1,1,0,0,0,NA,NA,NA,PI,629320
MalGBS_P15_H05_535824,NA,535824,China,2x,ombrophila,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,596281
MalGBS_P15_A06_23435,NA,23435,NA,2x,floribunda,NA,1,1,1,0,0,0,0,0,0,NA,NA,NA,PI,590035
MalGBS_P15_B06_4891,Erecta,4891,NA,2x,x robusta,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,588936
MalGBS_P15_C06_112250,Fastigiata,112250,NA,2x,x robusta,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,PI,589286
MalGBS_P15_D06_24793,Kingjon,24793,United States,2x,domestica,NA,1,1,1,0,0,0,1,0,0,NA,NA,NA,PI,590150
MalGBS_P15_E06_13885,William_Crump,13885,United Kingdom,2x,domestica,Other,1,1,1,1,1,1,1,1,0,red,firm,large,PI,589309
MalGBS_P15_F06_11797,Hunter_Spy_2-4-4,11797,NA,2x/4x,domestica,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,589203
MalGBS_P15_G06_161216,Fuero_Rous,161216,NA,2x,domestica,NA,1,1,1,1,1,1,1,1,0,red,firm,small,PI,187352
MalGBS_P15_H06_19653,NA,19653,NA,2x,floribunda,NA,1,1,0,0,0,0,0,0,0,NA,NA,NA,PI,589742
MalGBS_P15_A07_133110,Belle_Imperiale,133110,France,2x,domestica,NA,1,1,1,0,0,0,1,0,0,NA,NA,NA,PI,126495
MalGBS_P15_B07_23367,Oliver_or_Senator,23367,United States,2x,domestica,Other,1,1,1,1,1,1,1,1,0,red,firm,small,PI,590022
MalGBS_P15_C07_8923,Perrine_Yellow_Transparent,8923,NA,4x,domestica,NA,1,1,1,0,0,0,1,0,0,NA,NA,NA,PI,589099
