PC	eigenvalue	proportion of total	cumulative proportion
187	6.559	0.00115	0.63188
188	6.50953	0.00114	0.63302
189	6.481	0.00114	0.63416
190	6.47039	0.00114	0.6353
191	6.45074	0.00113	0.63643
192	6.40205	0.00112	0.63756
193	6.38367	0.00112	0.63868
194	6.35507	0.00112	0.63979
195	6.32229	0.00111	0.6409
196	6.29931	0.00111	0.64201
197	6.26033	0.0011	0.64311
198	6.2304	0.00109	0.6442
199	6.19239	0.00109	0.64529
200	6.16517	0.00108	0.64637
201	6.14856	0.00108	0.64745
202	6.09988	0.00107	0.64852
203	6.07791	0.00107	0.64959
204	6.05675	0.00106	0.65065
205	6.04842	0.00106	0.65172
206	6.02736	0.00106	0.65277
207	5.9972	0.00105	0.65383
208	5.96093	0.00105	0.65487
209	5.94081	0.00104	0.65592
210	5.90307	0.00104	0.65695
211	5.89349	0.00103	0.65799
212	5.87396	0.00103	0.65902
213	5.82936	0.00102	0.66004
214	5.8033	0.00102	0.66106
215	5.77579	0.00101	0.66208
216	5.75191	0.00101	0.66309
217	5.73258	0.00101	0.66409
218	5.71515	0.001	0.6651
219	5.70023	0.001	0.6661
220	5.68644	9.9853E-4	0.6671
221	5.66845	9.9537E-4	0.66809
222	5.65473	9.9296E-4	0.66909
223	5.62142	9.8711E-4	0.67007
224	5.60231	9.8375E-4	0.67106
225	5.5492	9.7443E-4	0.67203
226	5.53281	9.7155E-4	0.673
227	5.50758	9.6712E-4	0.67397
228	5.49372	9.6469E-4	0.67493
229	5.48138	9.6252E-4	0.6759
230	5.45982	9.5873E-4	0.67686
231	5.43595	9.5454E-4	0.67781
232	5.40988	9.4996E-4	0.67876
233	5.39824	9.4792E-4	0.67971
234	5.38214	9.4509E-4	0.68065
235	5.3769	9.4417E-4	0.6816
236	5.33959	9.3762E-4	0.68253
237	5.32648	9.3532E-4	0.68347
238	5.30371	9.3132E-4	0.6844
239	5.28968	9.2886E-4	0.68533
240	5.24843	9.2161E-4	0.68625
241	5.23371	9.1903E-4	0.68717
242	5.21449	9.1565E-4	0.68809
243	5.1987	9.1288E-4	0.689
244	5.19178	9.1167E-4	0.68991
245	5.16968	9.0778E-4	0.69082
246	5.15375	9.0499E-4	0.69172
247	5.11494	8.9817E-4	0.69262
248	5.09524	8.9471E-4	0.69352
249	5.08549	8.93E-4	0.69441
250	5.07473	8.9111E-4	0.6953
251	5.05541	8.8772E-4	0.69619
252	5.04352	8.8563E-4	0.69707
253	5.01721	8.8101E-4	0.69795
254	5.00333	8.7857E-4	0.69883
255	4.97359	8.7335E-4	0.69971
256	4.96733	8.7225E-4	0.70058
257	4.95568	8.7021E-4	0.70145
258	4.92119	8.6415E-4	0.70231
259	4.90002	8.6043E-4	0.70317
260	4.89328	8.5925E-4	0.70403
261	4.87176	8.5547E-4	0.70489
262	4.86303	8.5394E-4	0.70574
263	4.83106	8.4832E-4	0.70659
264	4.81953	8.463E-4	0.70744
265	4.80956	8.4455E-4	0.70828
266	4.79746	8.4242E-4	0.70912
267	4.77971	8.3931E-4	0.70996
268	4.76704	8.3708E-4	0.7108
269	4.75584	8.3511E-4	0.71164
270	4.74299	8.3286E-4	0.71247
271	4.73082	8.3072E-4	0.7133
272	4.71574	8.2807E-4	0.71413
273	4.69501	8.2443E-4	0.71495
274	4.6838	8.2247E-4	0.71577
275	4.67931	8.2168E-4	0.7166
276	4.64314	8.1533E-4	0.71741
277	4.62724	8.1253E-4	0.71822
278	4.61848	8.1099E-4	0.71903
279	4.60812	8.0918E-4	0.71984
280	4.60013	8.0777E-4	0.72065
281	4.57432	8.0324E-4	0.72145
282	4.56604	8.0179E-4	0.72226
283	4.54301	7.9774E-4	0.72305
