PC	eigenvalue	proportion of total	cumulative proportion
730	1.81415	3.1856E-4	0.94553
731	1.81064	3.1794E-4	0.94585
732	1.80445	3.1686E-4	0.94616
733	1.80279	3.1657E-4	0.94648
734	1.79677	3.1551E-4	0.9468
735	1.79342	3.1492E-4	0.94711
736	1.78995	3.1431E-4	0.94743
737	1.78502	3.1345E-4	0.94774
738	1.7835	3.1318E-4	0.94805
739	1.78102	3.1274E-4	0.94837
740	1.77704	3.1204E-4	0.94868
741	1.77169	3.111E-4	0.94899
742	1.76742	3.1036E-4	0.9493
743	1.76626	3.1015E-4	0.94961
744	1.76441	3.0983E-4	0.94992
745	1.7595	3.0896E-4	0.95023
746	1.75795	3.0869E-4	0.95054
747	1.75671	3.0847E-4	0.95084
748	1.7514	3.0754E-4	0.95115
749	1.74989	3.0728E-4	0.95146
750	1.74607	3.0661E-4	0.95177
751	1.74413	3.0626E-4	0.95207
752	1.73996	3.0553E-4	0.95238
753	1.73745	3.0509E-4	0.95268
754	1.73249	3.0422E-4	0.95299
755	1.72974	3.0374E-4	0.95329
756	1.72635	3.0314E-4	0.95359
757	1.72159	3.0231E-4	0.9539
758	1.72045	3.0211E-4	0.9542
759	1.71457	3.0107E-4	0.9545
760	1.70979	3.0023E-4	0.9548
761	1.70909	3.0011E-4	0.9551
762	1.70494	2.9938E-4	0.9554
763	1.70344	2.9912E-4	0.9557
764	1.69931	2.984E-4	0.956
765	1.69858	2.9827E-4	0.9563
766	1.69487	2.9762E-4	0.95659
767	1.6917	2.9706E-4	0.95689
768	1.68795	2.964E-4	0.95719
769	1.68423	2.9575E-4	0.95748
770	1.67957	2.9493E-4	0.95778
771	1.67633	2.9436E-4	0.95807
772	1.67565	2.9424E-4	0.95837
773	1.67165	2.9354E-4	0.95866
774	1.66449	2.9228E-4	0.95895
775	1.66249	2.9193E-4	0.95924
776	1.66022	2.9153E-4	0.95953
777	1.65515	2.9064E-4	0.95983
778	1.65351	2.9035E-4	0.96012
779	1.64815	2.8941E-4	0.96041
780	1.64487	2.8884E-4	0.96069
781	1.64187	2.8831E-4	0.96098
782	1.64034	2.8804E-4	0.96127
783	1.63637	2.8734E-4	0.96156
784	1.63234	2.8663E-4	0.96184
785	1.6294	2.8612E-4	0.96213
786	1.62523	2.8539E-4	0.96242
787	1.62278	2.8496E-4	0.9627
788	1.61979	2.8443E-4	0.96299
789	1.61203	2.8307E-4	0.96327
790	1.61009	2.8273E-4	0.96355
791	1.60583	2.8198E-4	0.96383
792	1.60341	2.8156E-4	0.96411
793	1.59887	2.8076E-4	0.9644
794	1.59785	2.8058E-4	0.96468
795	1.59465	2.8002E-4	0.96496
796	1.59163	2.7949E-4	0.96524
797	1.58859	2.7895E-4	0.96551
798	1.58706	2.7868E-4	0.96579
799	1.58533	2.7838E-4	0.96607
800	1.57807	2.771E-4	0.96635
801	1.57657	2.7684E-4	0.96663
802	1.56992	2.7567E-4	0.9669
803	1.56673	2.7511E-4	0.96718
804	1.56291	2.7444E-4	0.96745
805	1.5599	2.7391E-4	0.96772
806	1.55713	2.7343E-4	0.968
807	1.55331	2.7276E-4	0.96827
808	1.55134	2.7241E-4	0.96854
809	1.54536	2.7136E-4	0.96881
810	1.54394	2.7111E-4	0.96909
811	1.53868	2.7019E-4	0.96936
812	1.53142	2.6891E-4	0.96962
813	1.53072	2.6879E-4	0.96989
814	1.52755	2.6823E-4	0.97016
815	1.52284	2.6741E-4	0.97043
816	1.521	2.6708E-4	0.9707
817	1.51798	2.6655E-4	0.97096
818	1.51102	2.6533E-4	0.97123
819	1.509	2.6498E-4	0.97149
820	1.50529	2.6433E-4	0.97176
821	1.50148	2.6366E-4	0.97202
822	1.50051	2.6349E-4	0.97228
823	1.49071	2.6177E-4	0.97255
824	1.48909	2.6148E-4	0.97281
825	1.48586	2.6091E-4	0.97307
826	1.48214	2.6026E-4	0.97333
827	1.47759	2.5946E-4	0.97359
828	1.47241	2.5855E-4	0.97385
829	1.47038	2.582E-4	0.97411
830	1.46796	2.5777E-4	0.97436
831	1.4622	2.5676E-4	0.97462
832	1.46155	2.5665E-4	0.97488
833	1.45388	2.553E-4	0.97513
834	1.45159	2.549E-4	0.97539
835	1.44609	2.5393E-4	0.97564
836	1.44307	2.534E-4	0.97589
837	1.44009	2.5288E-4	0.97615
838	1.43621	2.522E-4	0.9764
839	1.43284	2.516E-4	0.97665
840	1.42581	2.5037E-4	0.9769
841	1.42187	2.4968E-4	0.97715
842	1.41571	2.486E-4	0.9774
843	1.40933	2.4747E-4	0.97765
844	1.40663	2.47E-4	0.97789
845	1.40033	2.4589E-4	0.97814
846	1.39546	2.4504E-4	0.97838
847	1.39143	2.4433E-4	0.97863
848	1.38617	2.4341E-4	0.97887
849	1.3819	2.4266E-4	0.97912
850	1.37638	2.4169E-4	0.97936
851	1.36975	2.4052E-4	0.9796
852	1.36472	2.3964E-4	0.97984
853	1.35872	2.3859E-4	0.98008
854	1.35791	2.3845E-4	0.98031
855	1.35571	2.3806E-4	0.98055
856	1.34651	2.3644E-4	0.98079
857	1.33879	2.3509E-4	0.98102
858	1.33428	2.343E-4	0.98126
859	1.32668	2.3296E-4	0.98149
860	1.31801	2.3144E-4	0.98172
861	1.31449	2.3082E-4	0.98195
862	1.31198	2.3038E-4	0.98218
863	1.30386	2.2896E-4	0.98241
864	1.29772	2.2788E-4	0.98264
865	1.28858	2.2627E-4	0.98287
866	1.28178	2.2508E-4	0.98309
867	1.26962	2.2294E-4	0.98331
868	1.26769	2.226E-4	0.98354
869	1.26155	2.2153E-4	0.98376
870	1.25361	2.2013E-4	0.98398
871	1.25021	2.1953E-4	0.9842
872	1.24805	2.1915E-4	0.98442
873	1.23145	2.1624E-4	0.98463
874	1.22736	2.1552E-4	0.98485
875	1.21715	2.1373E-4	0.98506
876	1.21097	2.1264E-4	0.98528
877	1.19449	2.0975E-4	0.98549
878	1.17983	2.0718E-4	0.98569
879	1.17423	2.0619E-4	0.9859
880	1.17065	2.0556E-4	0.9861
881	1.15245	2.0237E-4	0.98631
882	1.1475	2.015E-4	0.98651
883	1.14126	2.004E-4	0.98671
884	1.12943	1.9833E-4	0.98691
885	1.12459	1.9747E-4	0.9871
886	1.12055	1.9677E-4	0.9873
887	1.118	1.9632E-4	0.9875
888	1.10855	1.9466E-4	0.98769
889	1.10284	1.9366E-4	0.98789
890	1.09447	1.9219E-4	0.98808
891	1.08709	1.9089E-4	0.98827
892	1.07708	1.8913E-4	0.98846
893	1.0747	1.8871E-4	0.98865
894	1.06968	1.8783E-4	0.98883
895	1.06405	1.8684E-4	0.98902
896	1.05759	1.8571E-4	0.98921
897	1.05567	1.8537E-4	0.98939
898	1.04725	1.8389E-4	0.98958
899	1.04496	1.8349E-4	0.98976
900	1.0415	1.8289E-4	0.98994
901	1.03342	1.8147E-4	0.99012
902	1.02979	1.8083E-4	0.99031
903	1.02286	1.7961E-4	0.99048
904	1.01294	1.7787E-4	0.99066
905	1.00678	1.7679E-4	0.99084
906	1.00062	1.7571E-4	0.99102
907	0.99974	1.7555E-4	0.99119
908	0.99175	1.7415E-4	0.99136
909	0.98602	1.7314E-4	0.99154
910	0.98429	1.7284E-4	0.99171
911	0.97928	1.7196E-4	0.99188
912	0.96829	1.7003E-4	0.99205
913	0.96527	1.695E-4	0.99222
914	0.96293	1.6909E-4	0.99239
915	0.95954	1.6849E-4	0.99256
916	0.95241	1.6724E-4	0.99273
917	0.94762	1.664E-4	0.99289
918	0.94067	1.6518E-4	0.99306
919	0.93757	1.6464E-4	0.99322
920	0.9299	1.6329E-4	0.99339
921	0.92616	1.6263E-4	0.99355
922	0.92388	1.6223E-4	0.99371
923	0.91829	1.6125E-4	0.99387
924	0.90932	1.5968E-4	0.99403
925	0.90309	1.5858E-4	0.99419
926	0.89689	1.5749E-4	0.99435
927	0.89313	1.5683E-4	0.99451
928	0.88872	1.5606E-4	0.99466
929	0.88218	1.5491E-4	0.99482
930	0.87825	1.5422E-4	0.99497
931	0.86779	1.5238E-4	0.99512
932	0.86358	1.5164E-4	0.99527
933	0.85165	1.4955E-4	0.99542
934	0.84822	1.4895E-4	0.99557
935	0.84501	1.4838E-4	0.99572
936	0.83938	1.4739E-4	0.99587
937	0.83649	1.4689E-4	0.99602
938	0.82647	1.4513E-4	0.99616
939	0.81914	1.4384E-4	0.9963
940	0.81542	1.4319E-4	0.99645
941	0.81098	1.4241E-4	0.99659
942	0.80375	1.4114E-4	0.99673
943	0.80204	1.4084E-4	0.99687
944	0.79916	1.4033E-4	0.99701
945	0.79303	1.3925E-4	0.99715
946	0.78891	1.3853E-4	0.99729
947	0.7801	1.3698E-4	0.99743
948	0.77561	1.362E-4	0.99756
949	0.77314	1.3576E-4	0.9977
950	0.76776	1.3482E-4	0.99783
951	0.76418	1.3419E-4	0.99797
952	0.76322	1.3402E-4	0.9981
953	0.74963	1.3163E-4	0.99823
954	0.74157	1.3022E-4	0.99836
955	0.74039	1.3001E-4	0.99849
956	0.73359	1.2882E-4	0.99862
957	0.72431	1.2719E-4	0.99875
958	0.7125	1.2511E-4	0.99888
959	0.70338	1.2351E-4	0.999
960	0.69289	1.2167E-4	0.99912
961	0.67184	1.1797E-4	0.99924
962	0.66374	1.1655E-4	0.99935
963	0.6555	1.151E-4	0.99947
964	0.64812	1.1381E-4	0.99958
965	0.63627	1.1173E-4	0.9997
966	0.61494	1.0798E-4	0.9998
967	0.60092	1.0552E-4	0.99991
968	0.51748	9.0868E-5	1
969	9.5704E-29	1.6805E-32	1
