apple_id,PLANTID,usda_ploidy,het,ploidy
194,Spokane Beauty,NA,0.333459686895872,2x
195,Poeltsamaa Winter Apple,NA,0.3311379401842235,2x
196,Domaine,3x,0.509353322466927,3x
198,Winter Banana,NA,0.33309010272544637,2x
203,Virginiagold,2x,0.32827603199272204,2x
204,Anna,NA,0.3216993290625829,2x
205,Gala,NA,0.3823300860467761,2x
206,Idagold,NA,0.3545733671960881,2x
207,Medaille d'Or,2x,0.3290910124710966,2x
208,Rosemary Russet,NA,0.35623175770440846,2x
209,Smith Jonathan,4x,0.368873431636405,2x
212,Ein Shemer,NA,0.3854289071680376,2x
213,Reinette Simirenko,NA,0.3602213714415678,2x
214,Ingol,NA,0.35696144952806946,2x
216,Gravenstein Washington Red,3x,0.4655433834956977,3x
220,Sweet Delicious,NA,0.3711667487964823,2x
221,Megumi,NA,0.3410788067169554,2x
222,Golden Delicious,NA,0.3680584511580304,2x
223,Haralson,NA,0.38784541905159015,2x
224,Spartan,2x,0.3701432849399189,2x
225,Idared,NA,0.37118570183086314,2x
226,Rome Beauty Law,NA,0.3490011750881316,2x
227,Esopus Spitzenburg,2x,0.3746635836397407,2x
228,Reinette Russet,NA,0.33608468215761345,2x
229,Prime Red,NA,0.3472480194079072,2x
230,Eden,NA,0.3793070770630378,2x
231,Coxs Orange,NA,0.3116447443235662,2x
232,Senshu,NA,0.30588302187180166,2x
233,MN1802,NA,0.337581971873697,2x
234,Iwakami,NA,0.35747318145635115,2x
235,Pink Lady,NA,0.37509002691330884,2x
236,Kogetsu,NA,0.3568477313217846,2x
237,SJC A 37+,NA,0.3285508509912437,2x
238,Chinook,NA,0.4566828399226716,3x
239,Empress,NA,0.3333554452067776,2x
241,MN1849,NA,0.4517740040180433,3x
242,Tsugaru,NA,0.3526022516204844,2x
243,Hokuto,NA,0.36866494825821616,2x
244,KAS 21,NA,0.35663924794359575,2x
245,Akane,NA,0.33838747583488116,2x
246,Buckeye Gala,NA,0.35410901785375837,2x
247,Geneva early,NA,0.3503468405291687,2x
249,KAS 11,NA,0.3085648762366855,2x
250,Orin,NA,0.33454948637276827,2x
251,Red-Del-Stark,NA,0.36039194875099506,2x
252,Pionier,NA,0.39341761115954665,2x
253,Sayaka,NA,0.3530097418596717,2x
254,Jerseyred,NA,0.4600564800424548,3x
256,Boughsweet,NA,0.35209051969220273,2x
259,KAS 53,NA,0.3528486410674349,2x
260,KAS 60,NA,0.33260680034873585,2x
262,Chehalis,NA,0.33318486789735036,2x
264,KAS 62,NA,0.32940373753837987,2x
266,KAR 103,NA,0.34883059777870434,2x
267,KAS 72,NA,0.49423827754823546,3x
271,Rogers Mac,NA,0.36640953716690045,2x
274,KAR 86,NA,0.4674576399681589,3x
275,KAS 57,NA,0.3040730070884349,2x
276,KAS 59,NA,0.5543004435010045,3x
278,KAR 91,NA,0.3337629354459649,2x
279,KAS 65,NA,0.32138660399529967,2x
280,KAR 94,NA,0.40645729881354004,2x
283,KAS 63,NA,0.3493897122929381,2x
284,KAR 96,NA,0.3459118304840605,2x
285,KAS 76,NA,0.3780087942079527,2x
287,KAS 61,NA,0.525141200106137,3x
288,KAS 50,NA,0.34390280883969526,2x
289,KAR 112,NA,0.3720291118608089,2x
290,KAS 69,NA,0.3706265873166294,2x
291,KAS 68,NA,0.36653273189037566,2x
292,KAR 88,NA,0.37347901899094044,2x
293,KAS 66,NA,0.34796823471437777,2x
295,KAR 102,NA,0.34565596451991965,2x
296,KAR 101,NA,0.5941871043554073,3x
297,KAS 79,NA,0.3476934157158561,2x
298,KAR 110,NA,0.34390280883969526,2x
299,KAR 104,NA,0.4491300557219211,3x
300,KAR 105,NA,0.3647132405898184,2x
