trait,count,mean,median,min,max,sd
acidity_17_harv,718,7.944211001320396,7.661950870307566,1.41355264423264,24.6017643474114,3.3416820662872238
brix_17_harv,740,11.719507160909556,11.6908165589498,7.04477274461961,16.531082177238,1.3085746934550517
brix_acid_17_harv,718,1.821381645076343,1.515070890740005,0.399246068104138,7.93831446285213,1.0391483099212862
date_jul_17_harv,746,262.3275062420533,262.772809395262,224.937532692529,290.263117026107,15.964379662189428
firmness_avg_17_harv,743,8.40195536352478,8.38188687568441,1.98511076731567,14.2099646815338,1.8388205168099003
flowering_jul_16_harv,928,153.40120636751791,153.538764819112,146.336049291409,164.130140581542,2.041493798513503
percent_firmness_avg_17,476,-37.68825632132861,-39.7446636906151,-66.592918628677,8.49052980828487,12.4980226681759
time_ripen_2017,717,109.30748899362878,109.388473433913,70.9908344561289,139.043792873542,15.406328373110064
tpc,427,4.2691451186584475,3.90698902588915,0.292882734769678,27.9472923338338,2.562911211271952
weight_avg_17_harv,743,170.46224186618858,165.951161337654,7.5681109575675105,459.598508681416,60.51510726552008
