apple_id,PLANTID,ploidy,usda_ploidy,het,release_year,acidity_17_harv,brix_17_harv,brix_acid_17_harv,weight_avg_17_harv,firmness_avg_17_harv,percent_firmness_avg_17,tpc,flowering_jul_16_harv,time_ripen_2017,date_jul_17_harv
35,8B 14 56,2x,NA,0.3354118494370949,NA,4.4129992004908196,12.777187368933401,2.9510092445177198,222.71286239291001,7.22274606254246,-10.8953859893206,4.4956344638511601,151.91811176764199,119.798089212379,271.84685353477897
46,8C 18 30,2x,NA,0.3511712975247337,NA,5.7371888375561699,12.184818815505601,2.22733566135441,160.497129896334,10.0253182786262,-39.209910043523003,2.0949974478644799,151.78091889297099,109.005228304146,261.02102343943699
54,8S-26-52,2x,NA,0.2990314999431409,NA,NA,NA,NA,NA,NA,NA,NA,154.11293180034201,NA,NA
50,8S-29-18,2x,NA,0.32433380084151475,NA,4.0163453500856301,11.4564765721731,2.9671933952935601,178.45814183930301,9.5148597228782492,-24.139711879887301,3.0329499130650799,153.12120512006899,115.42539809205999,268.40750918504301
390,Aargauer Jubilaums,3x,NA,0.4795022933171601,NA,7.1483723416203402,11.0564750324172,1.4887085091626799,248.63440522621099,9.2955774339823396,-47.1899402176576,NA,153.930159232927,NA,282.65114720994501
559,Adersleber Kalvill,2x,NA,0.3612353587809408,1870,NA,11.631082177238,NA,233.80782800432101,8.5695502308256,NA,4.4093005343346503,151.77873545744799,122.61233090328901,274.76027550228298
411,Aivania,2x,NA,0.24298737727910238,NA,3.9818348415330398,10.296748929572701,2.5518461716023402,146.036240877674,8.5155517828540308,-23.138274924489501,4.48978725568172,151.934111117361,124.39242102189399,276.26311702610701
245,Akane,2x,NA,0.33838747583488116,1937,7.6422373851613603,11.045751683925801,1.3935739523436901,124.377300559086,7.8718324453676702,-44.010495261575102,3.34073238606027,152.637311278271,96.992181230023306,249.93139392449999
460,Akero,3x,NA,0.49150904059739964,NA,6.27649007269632,11.5878735128027,1.84489942585861,142.39819447513,9.9643517828540293,NA,NA,152.13014058154201,NA,240.279203634086
505,Alkmene,2x,NA,0.35227057351882035,1962,6.3110842391438204,11.6258037952261,1.8019294098391101,137.16159922409301,6.6354085609259803,-49.251052605416703,3.6697938474742,152.08530662187599,107.89848350612399,260.02796779245801
414,Alnarp 2,2x,NA,0.35812706114248893,1944,NA,NA,NA,NA,NA,NA,5.1976766662132201,153.538764819112,NA,NA
404,Alpinist,2x,NA,0.35133239831697055,NA,NA,NA,NA,NA,NA,NA,NA,153.92060458727599,NA,NA
395,Alton,2x,NA,0.3629032258064516,1938,7.6333622536715504,11.0586748406142,1.4787377270530899,143.55957471337501,4.4698025201565796,-30.5293693402092,NA,152.08117986993699,80.963175480904596,232.89484582932801
1216,Ambrosia,2x,NA,0.35801334293620407,1993,3.4318954598391,10.693278611722,3.2496595007798801,136.92560773100001,9.1169936713109792,-7.3393382596051797,2.5189949410091699,153.991886589426,122.880498242608,276.85996815777099
571,Amelia,2x,NA,0.3765967931465828,NA,5.5822548539289398,9.6392786606302003,1.77873112689929,177.33988561640899,8.0087693574727297,-43.092380407391197,2.3163162586429702,154.01131210243199,118.28269139784599,272.18516994603601
394,American Summer Pearmain,2x,NA,0.3745593419506463,NA,3.4845491780682099,13.6030512787347,3.99472424112875,79.8449321633598,8.2511529930934504,-43.183698036819301,NA,152.98961968444101,90.622958642360601,243.46091620459899
368,Amri,2x,NA,0.3511807740419241,NA,NA,12.808065336750101,NA,202.691600464098,11.8686725412485,NA,NA,153.77036450237301,121.517550406615,275.44421087670702
469,Amur Naliv,2x,2x,0.3677836321595087,NA,10.3231800169184,11.751744581606401,1.14352580967614,183.99009616603399,7.4521505243959503,-47.357477721936,NA,153.43347233908599,105.226390363603,258.60035595553097
468,Ananas Berzenicki,2x,NA,0.35696144952806946,NA,7.40247901911314,14.546342263012001,1.9469966253673801,235.75926748127301,8.4927529930934504,NA,NA,152.08152941691799,80.369416628548095,232.46625941976299
493,Anis Aliy K-32,2x,NA,0.3347579697509571,NA,8.8792434535998304,11.6600871842549,1.2680959496967701,110.94838291118,7.80538962524522,NA,NA,149.72084160321299,103.95642156036899,253.91549073163
418,Anisim,2x,NA,0.36941359311625793,NA,7.4039171621631104,11.0940997077003,1.5318072094889399,186.139312507651,9.9276430421577508,-24.913698363797899,4.5782441499500299,152.96906740506,128.282381699154,281.42644690946298
204,Anna,2x,NA,0.3216993290625829,1963,6.0673703139108,11.458685352415801,1.8693677019714201,160.70736976058299,6.7759676629024801,-38.720929517816103,NA,151.21034113414501,106.81313174805,257.75213245844202
513,Anoka,2x,NA,0.3549145218149426,1920,11.4047690282238,11.599870769146399,0.94288227769233601,140.66484693189,5.5761529930934497,NA,NA,152.15243104120799,79.769199297703196,231.937532692529
162,Antonovka Kamenichka,2x,NA,0.347996664265949,NA,NA,NA,NA,NA,NA,NA,NA,152.15258457487499,NA,NA
458,Antonovka Ottawa,2x,NA,0.337629354459649,NA,15.607854169931301,13.3743025916118,0.75688302301852095,267.61497894162198,7.6427201256528097,-26.777378891367,NA,155.577489764326,126.62080671031499,282.07427231340301
500,Apfel aus Grunheide,2x,NA,0.35776695348925364,NA,NA,NA,NA,NA,NA,NA,3.6205805027091702,154.08117986993699,113.96317548090499,267.89484582932801
541,Arkad Zimnyi,2x,NA,0.34087979985595696,NA,NA,NA,NA,NA,NA,NA,NA,152.25575349715101,NA,NA
431,Arkansas,2x,3x,0.41486296956142676,1868,NA,NA,NA,NA,NA,NA,NA,156.538764819112,NA,NA
