 FID  IID       O(HOM)       E(HOM)        N(NM)            F
 813  813        68149     6.29e+04       105524       0.1232
 814  814        67876     6.29e+04       105524       0.1168
 816  816        66432     6.29e+04       105524      0.08288
 817  817        68059     6.29e+04       105524        0.121
 818  818        72813     6.29e+04       105524       0.2326
 820  820        65989     6.29e+04       105524      0.07249
 821  821        68818     6.29e+04       105524       0.1389
 822  822        69348     6.29e+04       105524       0.1513
 823  823        72995     6.29e+04       105524       0.2369
 825  825        66547     6.29e+04       105524      0.08558
 826  826        68367     6.29e+04       105524       0.1283
 827  827        72340     6.29e+04       105524       0.2215
 828  828        67434     6.29e+04       105524       0.1064
 829  829        72210     6.29e+04       105524       0.2184
 830  830        59209     6.29e+04       105524     -0.08658
 831  831        71579     6.29e+04       105524       0.2036
 832  832        59605     6.29e+04       105524     -0.07729
 833  833        71316     6.29e+04       105524       0.1975
 834  834        69871     6.29e+04       105524       0.1636
 836  836        56899     6.29e+04       105524      -0.1408
 837  837        66722     6.29e+04       105524      0.08968
 838  838        56618     6.29e+04       105524      -0.1474
 840  840        67529     6.29e+04       105524       0.1086
 841  841        67742     6.29e+04       105524       0.1136
 843  843        57970     6.29e+04       105524      -0.1156
 844  844        67073     6.29e+04       105524      0.09792
 845  845        63146     6.29e+04       105524     0.005787
 848  848        56327     6.29e+04       105524      -0.1542
 849  849        67470     6.29e+04       105524       0.1072
 850  850        70852     6.29e+04       105524       0.1866
 851  851        54451     6.29e+04       105524      -0.1982
 852  852        69991     6.29e+04       105524       0.1664
 853  853        74483     6.29e+04       105524       0.2718
 854  854        67930     6.29e+04       105524        0.118
 855  855        56991     6.29e+04       105524      -0.1386
 856  856        69045     6.29e+04       105524       0.1442
 857  857        67688     6.29e+04       105524       0.1123
 858  858        67035     6.29e+04       105524      0.09703
 859  859        68742     6.29e+04       105524       0.1371
 860  860        64209     6.29e+04       105524      0.03073
 861  861        68573     6.29e+04       105524       0.1331
 862  862        65546     6.29e+04       105524      0.06209
 863  863        66982     6.29e+04       105524      0.09578
 864  864        67664     6.29e+04       105524       0.1118
 866  866        67715     6.29e+04       105524        0.113
 867  867        73933     6.29e+04       105524       0.2589
 868  868        61708     6.29e+04       105524     -0.02795
 869  869        52948     6.29e+04       105524      -0.2335
 870  870        68255     6.29e+04       105524       0.1256
 871  871        64703     6.29e+04       105524      0.04232
 872  872        73031     6.29e+04       105524       0.2377
 873  873        65162     6.29e+04       105524      0.05308
 874  874        62661     6.29e+04       105524    -0.005591
 875  875        51826     6.29e+04       105524      -0.2598
 876  876        65811     6.29e+04       105524      0.06831
 877  877        46110     6.29e+04       105524      -0.3939
 878  878        68597     6.29e+04       105524       0.1337
 879  879        60680     6.29e+04       105524     -0.05207
 880  880        74846     6.29e+04       105524       0.2803
 881  881        67511     6.29e+04       105524       0.1082
 882  882        69837     6.29e+04       105524       0.1628
 885  885        71021     6.29e+04       105524       0.1905
 888  888        67508     6.29e+04       105524       0.1081
 889  889        70063     6.29e+04       105524       0.1681
 890  890        68962     6.29e+04       105524       0.1422
 891  891        80663     6.29e+04       105524       0.4167
 892  892        64739     6.29e+04       105524      0.04316
 893  893        68399     6.29e+04       105524        0.129
 894  894        66852     6.29e+04       105524      0.09273
 895  895        63164     6.29e+04       105524      0.00621
 896  896        68766     6.29e+04       105524       0.1376
 897  897        67335     6.29e+04       105524       0.1041
 898  898        70342     6.29e+04       105524       0.1746
 899  899        68718     6.29e+04       105524       0.1365
 900  900        66595     6.29e+04       105524       0.0867
 901  901        65246     6.29e+04       105524      0.05505
 902  902        68897     6.29e+04       105524       0.1407
 903  903        73961     6.29e+04       105524       0.2595
 904  904        69977     6.29e+04       105524        0.166
 905  905        68724     6.29e+04       105524       0.1367
 906  906        52198     6.29e+04       105524      -0.2511
 907  907        68652     6.29e+04       105524        0.135
 908  908        68870     6.29e+04       105524       0.1401
 909  909        67842     6.29e+04       105524        0.116
 910  910        54587     6.29e+04       105524       -0.195
 911  911        70999     6.29e+04       105524         0.19
 912  912        56234     6.29e+04       105524      -0.1564
 913  913        69233     6.29e+04       105524       0.1486
 914  914        68828     6.29e+04       105524       0.1391
 915  915        65856     6.29e+04       105524      0.06937
 916  916        67348     6.29e+04       105524       0.1044
 917  917        60290     6.29e+04       105524     -0.06122
 918  918        69232     6.29e+04       105524       0.1486
 919  919        55458     6.29e+04       105524      -0.1746
 920  920        65127     6.29e+04       105524      0.05226
 921  921        69171     6.29e+04       105524       0.1471
 922  922        71954     6.29e+04       105524       0.2124
 923  923        67444     6.29e+04       105524       0.1066
 924  924        69414     6.29e+04       105524       0.1528
 925  925        58814     6.29e+04       105524     -0.09584
 926  926        68039     6.29e+04       105524       0.1206
 927  927        69352     6.29e+04       105524       0.1514
 928  928        72082     6.29e+04       105524       0.2154
 929  929        71494     6.29e+04       105524       0.2016
 930  930        70776     6.29e+04       105524       0.1848
 931  931        72219     6.29e+04       105524       0.2186
 932  932        71872     6.29e+04       105524       0.2105
 933  933        68022     6.29e+04       105524       0.1202
 934  934        67446     6.29e+04       105524       0.1067
 935  935        64227     6.29e+04       105524      0.03115
 936  936        66730     6.29e+04       105524      0.08987
 937  937        64587     6.29e+04       105524      0.03959
 938  938        66495     6.29e+04       105524      0.08436
 939  939        59447     6.29e+04       105524     -0.08099
 940  940        69706     6.29e+04       105524       0.1597
 941  941        54851     6.29e+04       105524      -0.1888
 942  942        68429     6.29e+04       105524       0.1297
 943  943        68249     6.29e+04       105524       0.1255
 944  944        69518     6.29e+04       105524       0.1553
 945  945        68842     6.29e+04       105524       0.1394
 946  946        66832     6.29e+04       105524      0.09226
 947  947        72965     6.29e+04       105524       0.2361
 948  948        65368     6.29e+04       105524      0.05792
 949  949        68168     6.29e+04       105524       0.1236
 950  950        67259     6.29e+04       105524       0.1023
 952  952        67418     6.29e+04       105524        0.106
 953  953        70019     6.29e+04       105524        0.167
 954  954        67460     6.29e+04       105524        0.107
 956  956        68548     6.29e+04       105524       0.1325
 958  958        67155     6.29e+04       105524      0.09984
 959  959        67229     6.29e+04       105524       0.1016
 960  960        72859     6.29e+04       105524       0.2337
 962  962        63261     6.29e+04       105524     0.008485
 964  964        59321     6.29e+04       105524     -0.08395
 965  965        54629     6.29e+04       105524       -0.194
 966  966        69551     6.29e+04       105524       0.1561
 967  967        69434     6.29e+04       105524       0.1533
 968  968        64342     6.29e+04       105524      0.03385
 969  969        66475     6.29e+04       105524      0.08389
 970  970        70591     6.29e+04       105524       0.1805
 971  971        70362     6.29e+04       105524       0.1751
 972  972        68115     6.29e+04       105524       0.1224
 973  973        78673     6.29e+04       105524       0.3701
 975  975        64774     6.29e+04       105524      0.04398
 976  976        66268     6.29e+04       105524      0.07903
 977  977        69849     6.29e+04       105524        0.163
 978  978        68357     6.29e+04       105524        0.128
 979  979        72321     6.29e+04       105524        0.221
 980  980        69815     6.29e+04       105524       0.1622
 981  981        66402     6.29e+04       105524      0.08217
 982  982        68853     6.29e+04       105524       0.1397
 983  983        68220     6.29e+04       105524       0.1248
 984  984        68706     6.29e+04       105524       0.1362
 985  985        69688     6.29e+04       105524       0.1593
 986  986        66173     6.29e+04       105524       0.0768
 987  987        68713     6.29e+04       105524       0.1364
 988  988        66240     6.29e+04       105524      0.07837
 989  989        52728     6.29e+04       105524      -0.2386
 990  990        69935     6.29e+04       105524       0.1651
 991  991        66360     6.29e+04       105524      0.08119
 994  994        70565     6.29e+04       105524       0.1798
 995  995        67441     6.29e+04       105524       0.1066
 996  996        67997     6.29e+04       105524       0.1196
 997  997        70358     6.29e+04       105524        0.175
 998  998        62232     6.29e+04       105524     -0.01566
 999  999        55198     6.29e+04       105524      -0.1807
1000 1000        67804     6.29e+04       105524       0.1151
1001 1001        69873     6.29e+04       105524       0.1636
1002 1002        66957     6.29e+04       105524       0.0952
1003 1003        64565     6.29e+04       105524      0.03908
1004 1004        67058     6.29e+04       105524      0.09757
1007 1007        65971     6.29e+04       105524      0.07206
1008 1008        66604     6.29e+04       105524      0.08691
1009 1009        70101     6.29e+04       105524        0.169
1010 1010        68239     6.29e+04       105524       0.1253
1011 1011        69924     6.29e+04       105524       0.1648
1012 1012        67337     6.29e+04       105524       0.1041
1013 1013        68061     6.29e+04       105524       0.1211
1014 1014        71724     6.29e+04       105524        0.207
1015 1015        66447     6.29e+04       105524      0.08323
1016 1016        56964     6.29e+04       105524      -0.1392
1017 1017        70533     6.29e+04       105524       0.1791
1018 1018        68422     6.29e+04       105524       0.1296
1019 1019        70625     6.29e+04       105524       0.1812
1021 1021        69851     6.29e+04       105524       0.1631
1022 1022        57060     6.29e+04       105524       -0.137
1023 1023        72190     6.29e+04       105524        0.218
1024 1024        66157     6.29e+04       105524      0.07643
1025 1025        68170     6.29e+04       105524       0.1237
1026 1026        66621     6.29e+04       105524      0.08731
1029 1029        72299     6.29e+04       105524       0.2205
1030 1030        72737     6.29e+04       105524       0.2308
1031 1031        71905     6.29e+04       105524       0.2113
1032 1032        50410     6.29e+04       105524       -0.293
1033 1033        62320     6.29e+04       105524     -0.01359
1034 1034        68155     6.29e+04       105524       0.1233
1035 1035        64725     6.29e+04       105524      0.04283
1036 1036        65783     6.29e+04       105524      0.06765
1037 1037        70976     6.29e+04       105524       0.1895
1039 1039        67149     6.29e+04       105524       0.0997
1041 1041        64672     6.29e+04       105524      0.04159
1042 1042        53238     6.29e+04       105524      -0.2267
1043 1043        66810     6.29e+04       105524      0.09175
1044 1044        67594     6.29e+04       105524       0.1101
1046 1046        71861     6.29e+04       105524       0.2102
1047 1047        68346     6.29e+04       105524       0.1278
1048 1048        65153     6.29e+04       105524      0.05287
1049 1049        66994     6.29e+04       105524      0.09606
1050 1050        51863     6.29e+04       105524      -0.2589
1051 1051        53365     6.29e+04       105524      -0.2237
1052 1052        67680     6.29e+04       105524       0.1122
1053 1053        70932     6.29e+04       105524       0.1885
1054 1054        64430     6.29e+04       105524      0.03591
1055 1055        70406     6.29e+04       105524       0.1761
1056 1056        69132     6.29e+04       105524       0.1462
1057 1057        70367     6.29e+04       105524       0.1752
1058 1058        71155     6.29e+04       105524       0.1937
1059 1059        58220     6.29e+04       105524      -0.1098
1060 1060        71415     6.29e+04       105524       0.1998
1061 1061        74717     6.29e+04       105524       0.2772
1062 1062        68569     6.29e+04       105524        0.133
1063 1063        68757     6.29e+04       105524       0.1374
1064 1064        69038     6.29e+04       105524        0.144
1065 1065        56716     6.29e+04       105524      -0.1451
1066 1066        67323     6.29e+04       105524       0.1038
1067 1067        69064     6.29e+04       105524       0.1446
1068 1068        52028     6.29e+04       105524       -0.255
1069 1069        68408     6.29e+04       105524       0.1292
1070 1070        68623     6.29e+04       105524       0.1343
1071 1071        64992     6.29e+04       105524       0.0491
1072 1072        71989     6.29e+04       105524       0.2132
1073 1073        70277     6.29e+04       105524       0.1731
1074 1074        54379     6.29e+04       105524      -0.1999
1075 1075        71881     6.29e+04       105524       0.2107
1077 1077        69335     6.29e+04       105524        0.151
1078 1078        71127     6.29e+04       105524        0.193
1079 1079        71421     6.29e+04       105524       0.1999
1080 1080        69961     6.29e+04       105524       0.1657
1081 1081        67519     6.29e+04       105524       0.1084
1082 1082        67057     6.29e+04       105524      0.09754
1083 1083        47344     6.29e+04       105524      -0.3649
1084 1084        69984     6.29e+04       105524       0.1662
1085 1085        65494     6.29e+04       105524      0.06087
1086 1086        67089     6.29e+04       105524      0.09829
1087 1087        70328     6.29e+04       105524       0.1743
1088 1088        65779     6.29e+04       105524      0.06756
1089 1089        66980     6.29e+04       105524      0.09574
1090 1090        58514     6.29e+04       105524      -0.1029
1093 1093        67538     6.29e+04       105524       0.1088
1094 1094        64073     6.29e+04       105524      0.02754
1095 1095        54514     6.29e+04       105524      -0.1967
1096 1096        53843     6.29e+04       105524      -0.2125
1097 1097        57757     6.29e+04       105524      -0.1206
1098 1098        69758     6.29e+04       105524       0.1609
1099 1099        69509     6.29e+04       105524       0.1551
1100 1100        65980     6.29e+04       105524      0.07227
1101 1101        64510     6.29e+04       105524      0.03779
1102 1102        69418     6.29e+04       105524       0.1529
1103 1103        66162     6.29e+04       105524      0.07654
1104 1104        68471     6.29e+04       105524       0.1307
1105 1105        61079     6.29e+04       105524     -0.04271
1106 1106        65457     6.29e+04       105524         0.06
1107 1107        71830     6.29e+04       105524       0.2095
1108 1108        67433     6.29e+04       105524       0.1064
1109 1109        67339     6.29e+04       105524       0.1042
1110 1110        55939     6.29e+04       105524      -0.1633
1111 1111        68939     6.29e+04       105524       0.1417
1112 1112        67784     6.29e+04       105524       0.1146
1113 1113        72622     6.29e+04       105524       0.2281
1114 1114        68408     6.29e+04       105524       0.1292
1115 1115        69498     6.29e+04       105524       0.1548
1116 1116        66382     6.29e+04       105524      0.08171
1118 1118        69984     6.29e+04       105524       0.1662
1119 1119        67022     6.29e+04       105524      0.09672
1120 1120        53380     6.29e+04       105524      -0.2233
1121 1121        66633     6.29e+04       105524      0.08759
1122 1122        70270     6.29e+04       105524       0.1729
1123 1123        64718     6.29e+04       105524      0.04267
1124 1124        68797     6.29e+04       105524       0.1384
1125 1125        59213     6.29e+04       105524     -0.08648
1126 1126        66850     6.29e+04       105524      0.09269
1127 1127        66634     6.29e+04       105524      0.08762
1129 1129        66261     6.29e+04       105524      0.07887
1130 1130        67542     6.29e+04       105524       0.1089
1131 1131        56475     6.29e+04       105524      -0.1507
1132 1132        69204     6.29e+04       105524       0.1479
1133 1133        70977     6.29e+04       105524       0.1895
1134 1134        65001     6.29e+04       105524      0.04931
1135 1135        71845     6.29e+04       105524       0.2099
1136 1136        57705     6.29e+04       105524      -0.1219
1137 1137        67044     6.29e+04       105524      0.09724
1138 1138        72636     6.29e+04       105524       0.2284
1139 1139        54304     6.29e+04       105524      -0.2017
1140 1140        65952     6.29e+04       105524      0.07162
1141 1141        68719     6.29e+04       105524       0.1365
1142 1142        66391     6.29e+04       105524      0.08192
1143 1143        51890     6.29e+04       105524      -0.2583
1144 1144        68158     6.29e+04       105524       0.1234
1145 1145        70808     6.29e+04       105524       0.1855
1146 1146        66624     6.29e+04       105524      0.08738
1147 1147        66472     6.29e+04       105524      0.08382
1148 1148        70706     6.29e+04       105524       0.1831
1150 1150        66672     6.29e+04       105524      0.08851
1151 1151        70463     6.29e+04       105524       0.1774
1152 1152        64214     6.29e+04       105524      0.03084
1153 1153        67701     6.29e+04       105524       0.1127
1154 1154        71628     6.29e+04       105524       0.2048
1155 1155        68862     6.29e+04       105524       0.1399
1156 1156        70431     6.29e+04       105524       0.1767
1157 1157        66720     6.29e+04       105524      0.08964
1158 1158        58367     6.29e+04       105524      -0.1063
1159 1159        67004     6.29e+04       105524       0.0963
1160 1160        68030     6.29e+04       105524       0.1204
1161 1161        69613     6.29e+04       105524       0.1575
1162 1162        55527     6.29e+04       105524       -0.173
1163 1163        66935     6.29e+04       105524      0.09468
1164 1164        63163     6.29e+04       105524     0.006186
1165 1165        58141     6.29e+04       105524      -0.1116
1167 1167        46175     6.29e+04       105524      -0.3924
1168 1168        70466     6.29e+04       105524       0.1775
1169 1169        69712     6.29e+04       105524       0.1598
1170 1170        67069     6.29e+04       105524      0.09782
1171 1171        64684     6.29e+04       105524      0.04187
1172 1172        73380     6.29e+04       105524       0.2459
1173 1173        62802     6.29e+04       105524    -0.002283
1174 1174        73433     6.29e+04       105524       0.2471
1175 1175        66491     6.29e+04       105524      0.08426
1176 1176        69810     6.29e+04       105524       0.1621
1177 1177        69795     6.29e+04       105524       0.1618
1184 1184        64742     6.29e+04       105524      0.04323
1185 1185        69139     6.29e+04       105524       0.1464
1186 1186        67991     6.29e+04       105524       0.1195
1187 1187        65657     6.29e+04       105524       0.0647
1189 1189        67206     6.29e+04       105524        0.101
1190 1190        54298     6.29e+04       105524      -0.2018
1192 1192        69297     6.29e+04       105524       0.1501
1193 1193        50568     6.29e+04       105524      -0.2893
1194 1194        69638     6.29e+04       105524       0.1581
1195 1195        72739     6.29e+04       105524       0.2308
1196 1196        70314     6.29e+04       105524        0.174
1197 1197        66584     6.29e+04       105524      0.08644
1198 1198        70022     6.29e+04       105524       0.1671
1199 1199        63197     6.29e+04       105524     0.006984
1200 1200        73453     6.29e+04       105524       0.2476
1205 1205        56117     6.29e+04       105524      -0.1591
1206 1206        69947     6.29e+04       105524       0.1653
1207 1207        65056     6.29e+04       105524       0.0506
1209 1209        67386     6.29e+04       105524       0.1053
1210 1210        54951     6.29e+04       105524      -0.1865
1211 1211        48278     6.29e+04       105524       -0.343
1212 1212        66690     6.29e+04       105524      0.08893
1213 1213        72726     6.29e+04       105524       0.2305
1215 1215        68783     6.29e+04       105524        0.138
1216 1216        67745     6.29e+04       105524       0.1137
1218 1218        67621     6.29e+04       105524       0.1108
1221 1221        52605     6.29e+04       105524      -0.2415
1222 1222        65196     6.29e+04       105524      0.05388
1223 1223        72309     6.29e+04       105524       0.2208
1224 1224        68200     6.29e+04       105524       0.1244
1226 1226        72638     6.29e+04       105524       0.2285
1227 1227        70204     6.29e+04       105524       0.1714
1228 1228        74071     6.29e+04       105524       0.2621
1230 1230        66471     6.29e+04       105524      0.08379
1232 1232        68660     6.29e+04       105524       0.1351
1233 1233        56024     6.29e+04       105524      -0.1613
1238 1238        71779     6.29e+04       105524       0.2083
1239 1239        71689     6.29e+04       105524       0.2062
1240 1240        54884     6.29e+04       105524       -0.188
1301 1301        84303     6.29e+04       105524       0.5021
1302 1302        84313     6.29e+04       105524       0.5024
