 FID  IID       O(HOM)       E(HOM)        N(NM)            F
 198  198        70375     6.29e+04       105524       0.1754
 203  203        70883     6.29e+04       105524       0.1873
 204  204        71577     6.29e+04       105524       0.2036
 205  205        65179     6.29e+04       105524      0.05348
 206  206        68108     6.29e+04       105524       0.1222
 207  207        70797     6.29e+04       105524       0.1853
 208  208        67933     6.29e+04       105524       0.1181
 209  209        66599     6.29e+04       105524       0.0868
 212  212        64852     6.29e+04       105524      0.04581
 213  213        67512     6.29e+04       105524       0.1082
 214  214        67856     6.29e+04       105524       0.1163
 216  216        56398     6.29e+04       105524      -0.1525
 220  220        66357     6.29e+04       105524      0.08112
 221  221        69532     6.29e+04       105524       0.1556
 222  222        66685     6.29e+04       105524      0.08881
 223  223        64597     6.29e+04       105524      0.03983
 224  224        66465     6.29e+04       105524      0.08365
 225  225        66355     6.29e+04       105524      0.08107
 226  226        68696     6.29e+04       105524        0.136
 227  227        65988     6.29e+04       105524      0.07246
 228  228        70059     6.29e+04       105524        0.168
 229  229        68881     6.29e+04       105524       0.1403
 230  230        65498     6.29e+04       105524      0.06097
 231  231        72638     6.29e+04       105524       0.2285
 232  232        73246     6.29e+04       105524       0.2427
 233  233        69901     6.29e+04       105524       0.1643
 234  234        67802     6.29e+04       105524        0.115
 235  235        65943     6.29e+04       105524      0.07141
 236  236        67868     6.29e+04       105524       0.1166
 237  237        70854     6.29e+04       105524       0.1866
 238  238        57333     6.29e+04       105524      -0.1306
 239  239        70347     6.29e+04       105524       0.1747
 241  241        57851     6.29e+04       105524      -0.1184
 242  242        68316     6.29e+04       105524       0.1271
 243  243        66621     6.29e+04       105524      0.08731
 244  244        67890     6.29e+04       105524       0.1171
 245  245        69816     6.29e+04       105524       0.1623
 246  246        68157     6.29e+04       105524       0.1233
 247  247        68554     6.29e+04       105524       0.1327
 249  249        72963     6.29e+04       105524       0.2361
 250  250        70221     6.29e+04       105524       0.1718
 251  251        67494     6.29e+04       105524       0.1078
 252  252        64009     6.29e+04       105524      0.02603
 253  253        68273     6.29e+04       105524       0.1261
 254  254        56977     6.29e+04       105524      -0.1389
 256  256        68370     6.29e+04       105524       0.1283
 259  259        68290     6.29e+04       105524       0.1265
 260  260        70426     6.29e+04       105524       0.1766
 262  262        70365     6.29e+04       105524       0.1751
 264  264        70764     6.29e+04       105524       0.1845
 266  266        68714     6.29e+04       105524       0.1364
 267  267        53370     6.29e+04       105524      -0.2236
 271  271        66859     6.29e+04       105524       0.0929
 274  274        56196     6.29e+04       105524      -0.1573
 275  275        73437     6.29e+04       105524       0.2472
 276  276        47032     6.29e+04       105524      -0.3723
 278  278        70304     6.29e+04       105524       0.1737
 279  279        71610     6.29e+04       105524       0.2044
 280  280        62633     6.29e+04       105524    -0.006248
 283  283        68655     6.29e+04       105524        0.135
 284  284        69022     6.29e+04       105524       0.1436
 285  285        65635     6.29e+04       105524      0.06418
 287  287        50109     6.29e+04       105524      -0.3001
 288  288        69234     6.29e+04       105524       0.1486
 289  289        66266     6.29e+04       105524      0.07898
 290  290        66414     6.29e+04       105524      0.08246
 291  291        66846     6.29e+04       105524      0.09259
 292  292        66113     6.29e+04       105524      0.07539
 293  293        68805     6.29e+04       105524       0.1386
 295  295        69049     6.29e+04       105524       0.1443
 296  296        42823     6.29e+04       105524       -0.471
 297  297        68834     6.29e+04       105524       0.1392
 298  298        69234     6.29e+04       105524       0.1486
 299  299        58130     6.29e+04       105524      -0.1119
 300  300        67038     6.29e+04       105524       0.0971
 301  301        66931     6.29e+04       105524      0.09459
 302  302        55531     6.29e+04       105524      -0.1729
 304  304        66616     6.29e+04       105524       0.0872
